lat-long,fsq_id,cat_id,category_name,categories,name,address,city,country,popularity,rating
"43.665269,-79.319796",4b12cd56f964a5206d8e23e3,13049,Diner,"[{'id': 13049, 'name': 'Diner', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/diner_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Occasions Restaurant,"30 Eastwood Rd (Gainsborough Road), Toronto ON M4L 2C3",Toronto,CA,0.9635992022081298,7.4
"43.665269,-79.319796",4da22f3ad686b60c2bb1b428,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Queen's Head Pub,"1214 Queen St E (Leslie St), Toronto ON M4M 1L7",Toronto,CA,0.9627532464324748,5.6
"43.665269,-79.319796",54b47574498e6b087d957fa2,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Eulalie's Corner Store,"1438 Gerrard St E (Ashdale), Toronto ON M4L 1Z8",Toronto,CA,0.9576157631817817,6.9
"43.665269,-79.319796",60ce6c2fe180036cc18a8b13,13010,Dive Bar,"[{'id': 13010, 'name': 'Dive Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/divebar_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Betty's East,"1301 Queen St E, Toronto ON M4L 1C2",Toronto,CA,0.954275164096896,
"43.665269,-79.319796",4ea9b2c0cc217eb08e070a93,13031,Burger Joint,"[{'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13034, 'name': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Lazy Daisy's Cafe,"1515 Gerrard St E (at Coxwell Ave), Toronto ON M4L 2A4",Toronto,CA,0.9391220584512217,7.4
"43.665269,-79.319796",4fd52f42e4b0b916eb02ab1b,13064,Pizzeria,"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",O Sushi,"6 Coxwell Ave (Queen), Toronto ON M4L 3A7",Toronto,CA,0.9352936454519071,7.9
"43.665269,-79.319796",4b6bb0cef964a520b6152ce3,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Duke of York,"1225 Queen St E (at Leslie St), Toronto ON M4M 1L6",Toronto,CA,0.9309033202220479,5.9
"43.665269,-79.319796",584b6fef65e7c76fc4e5c627,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Lloyd's on Queen,"1298 Queen St E, Toronto ON M4L 1C4",Toronto,CA,0.8944160743947094,
"43.665269,-79.319796",4b0ff2a5f964a520a16623e3,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13068, 'name': 'American Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Murphy's Law Irish Pub Inc,"1702 Queen St E (at Kingston Rd.), Toronto ON M4L 1G6",Toronto,CA,0.8826653164306841,7.1
"43.665269,-79.319796",5f5aa25c6fa9260f1e84871c,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Toto Sushi,"1455 Gerrard St E (Craven Rd), Toronto ON M4L 1Z9",Toronto,CA,0.86401106534854,
"43.67142,-79.445947",5fe4bf11ec39e873a5811659,13018,Pub,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Century Park Tavern,"33 Powerhouse St, Toronto ON M6H 0C7",Toronto,CA,0.9715894706292799,
"43.67142,-79.445947",4f14a5cbe4b072565fe420b4,13272,Ramen Restaurant,"[{'id': 13272, 'name': 'Ramen Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/ramen_', 'suffix': '.png'}}, {'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",California Sushi,"1238 Saint Clair Ave W, Toronto ON M6E 1B7",Toronto,CA,0.9702680506585488,7.3
"43.67142,-79.445947",5aabed888fb09e249951f426,13276,Sushi Restaurant,"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",Shunoko,"1201 St Clair Ave W (at Dufferin St), Toronto ON M6E 1B5",Toronto,CA,0.9664149382205289,7.8
"43.67142,-79.445947",5753753b498eeb535c53aed5,13003,Bar,"[{'id': 13003, 'name': 'Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",The Greater Good Bar,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Toronto,CA,0.9460379012886933,9.1
"43.67142,-79.445947",4cf0a27f7bf3b60ce9095b7f,10032,Night Club,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}, {'id': 13016, 'name': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}}]",Epic Lounge,"1355 Saint Clair Ave W (Lansdowne Ave.), Toronto ON M6E 1C5",Toronto,CA,0.9449573008453382,
"43.67142,-79.445947",62dc5c20e88f9b2583eedd18,13025,Wine Bar,"[{'id': 13025, 'name': 'Wine Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/winery_', 'suffix': '.png'}}]",Paradise Grapevine Winery,"218 Geary Ave, Toronto ON M6H 2C3",Toronto,CA,0.9406287242122423,
