lat-long,category_name,categories,name,latitude,longitude,address,city,country,rating
"43.665269, -79.319796",bakeries,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'bistros', 'title': 'Bistros'}]",Le Conciliabule,43.671365,-79.3272249,"['1300 Gerrard Street E', 'Toronto, ON M4L 1Y7', 'Canada']",Toronto,CA,4.5
"43.665269, -79.319796",pubs,"[{'alias': 'pubs', 'title': 'Pubs'}]",Eulalie's Corner Store,43.6725388,-79.3217316,"['1438 Gerrard Street E', 'Toronto, ON M4L 1Z8', 'Canada']",Toronto,CA,4.5
"43.665269, -79.319796",cafes,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}]",Black Pony,43.67241,-79.3204,"['1481 Gerrard Street E', 'Toronto, ON M4L 2A3', 'Canada']",Toronto,CA,4.5
"43.665269, -79.319796",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",Lake Inez,43.67234,-79.32064,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']",Toronto,CA,4.5
"43.665269, -79.319796",cocktailbars,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Lloyd's On Queen,43.66380139616702,-79.3283557134918,"['1298 Queen St E', 'Toronto, ON M4L 1C4', 'Canada']",Toronto,CA,5.0
"43.665269, -79.319796",bowling,"[{'alias': 'bowling', 'title': 'Bowling'}, {'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'bars', 'title': 'Bars'}]",Shamrock Bowl and Restobar,43.67329,-79.31979,"['280 Coxwell Avenue', 'Toronto, ON M4L 3B6', 'Canada']",Toronto,CA,4.0
"43.665269, -79.319796",sportsbars,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'karaoke', 'title': 'Karaoke'}, {'alias': 'musicvenues', 'title': 'Music Venues'}]",The Duke Live,43.6631490072311,-79.3303066492081,"['1225 Queen Street E', 'Toronto, ON M4M 1L6', 'Canada']",Toronto,CA,3.5
"43.665269, -79.319796",pubs,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",JP Restaurant,43.67303,-79.31955,"['270 Coxwell Avenue', 'Toronto, ON M4L 3B6', 'Canada']",Toronto,CA,3.5
"43.665269, -79.319796",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",The Thirsty Loon,43.67239417788257,-79.31990607361067,"['1489 Gerrard Street E', 'Toronto, ON M4L 2A4', 'Canada']",Toronto,CA,4.0
"43.665269, -79.319796",mediterranean,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Toronto Beach Club,43.6632065,-79.3100133,"['1681 Lake Shore Boulevard E', 'Toronto, ON M4L 3W6', 'Canada']",Toronto,CA,3.0
"43.665269, -79.319796",bars,"[{'alias': 'bars', 'title': 'Bars'}]",Jenni Place,43.6718,-79.32481,"['1338 Gerrard Street E', 'Toronto, ON M4L 1Z2', 'Canada']",Toronto,CA,3.0
"43.665269, -79.319796",seafood,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Beach Club,43.6632065,-79.3100133,"['1681 Lake Shore Boulevard E', 'Toronto, ON M4L 3W6', 'Canada']",Toronto,CA,3.0
"43.665269, -79.319796",newcanadian,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",Queen's Head,43.6632102060042,-79.3308547120553,"['1214 Queen Street E', 'Toronto, ON M4M 1L7', 'Canada']",Toronto,CA,2.5
"43.665269, -79.319796",pubs,"[{'alias': 'pubs', 'title': 'Pubs'}]",Boardwalk Place,43.6630096,-79.3108978,"['1675 Lake Shore Boulevard E', 'Toronto, ON M4W 3L6', 'Canada']",Toronto,CA,2.5
"43.665269, -79.319796",bars,"[{'alias': 'bars', 'title': 'Bars'}]",Two Headed Dog,43.672357884225,-79.3207821249962,"['1469 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']",Toronto,CA,2.5
"43.665269, -79.319796",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'indpak', 'title': 'Indian'}]",Baldev Paan Cold Drink House,43.67171,-79.32352,"['1399 Gerrard Street E', 'Toronto, ON M4L 1Z5', 'Canada']",Toronto,CA,3.0
"43.67142, -79.445947",sportsbars,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",The Cat's Cradle  Sports and Spirits,43.67712,-79.44588,"['1245 St Clair Avenue W', 'Toronto, ON M6E 1B8', 'Canada']",Toronto,CA,4.5
"43.67142, -79.445947",italian,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",CANO Restaurant,43.67871,-79.44058,"['1108 St Clair Avenue W', 'Toronto, ON M6E 1A7', 'Canada']",Toronto,CA,4.5
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}]",The Greater Good Bar,43.6692689674341,-79.4390478949696,"['229 Geary Avenue', 'Toronto, ON M6H 2C3', 'Canada']",Toronto,CA,4.0
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}]",Boo Radley's Junction Bar and Grill,43.66614,-79.45028,"['1482 Dupont Street', 'Toronto, ON M6P', 'Canada']",Toronto,CA,3.5
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'latin', 'title': 'Latin American'}]",EL TREN LATÍNO,43.67787,-79.44232,"['1157 St. Clair Ave W', 'Toronto, ON M6H 2K3', 'Canada']",Toronto,CA,4.0
"43.67142, -79.445947",divebars,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'chinese', 'title': 'Chinese'}]",Brothers Bar,43.67968,-79.43627,"['962 St. Clair Ave W', 'Toronto, ON M6E 1A1', 'Canada']",Toronto,CA,3.0
"43.67142, -79.445947",sportsbars,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",Gaivota Sports Bar,43.66518,-79.45282,"['1557 Dupont Street', 'Toronto, ON M6P 3S5', 'Canada']",Toronto,CA,3.0
"43.67142, -79.445947",pubs,"[{'alias': 'pubs', 'title': 'Pubs'}]",Fox And Fiddle,43.67837,-79.43999,"['1085 Saint Clair Ave W', 'Toronto, ON M6E', 'Canada']",Toronto,CA,2.0
"43.67142, -79.445947",lounges,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Vivid Bar,43.67853,-79.43915,"['1067 Staint Clair Avenue W', 'Toronto, ON M6E 1A6', 'Canada']",Toronto,CA,3.0
"43.67142, -79.445947",divebars,"[{'alias': 'divebars', 'title': 'Dive Bars'}]",This Month Only Bar,43.66567,-79.45226,"['1540 Dupont Street', 'Toronto, ON M6P 4G7', 'Canada']",Toronto,CA,1.0
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newcanadian', 'title': 'Canadian (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",La Fogata Bar & Restaurant,43.6778446744717,-79.4424114148012,"['1157 St Clair Avenue W', 'Toronto, ON M6E 1B2', 'Canada']",Toronto,CA,1.0
"43.67142, -79.445947",sportsbars,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]",Castelo Sports Bar,43.67599,-79.45295,"['1468 Street Clair Avenue W', 'Toronto, ON M6E 1C6', 'Canada']",Toronto,CA,0.0
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}]",Ti Carlos,43.67662,-79.45046,"['1384 Street Clair Avenue W', 'Toronto, ON M6E 1C6', 'Canada']",Toronto,CA,0.0
"43.67142, -79.445947",bars,"[{'alias': 'bars', 'title': 'Bars'}]",Jhon Jhon Snack Bar,43.676102,-79.4507311,"['1351 Street Clair Avenue W', 'Toronto, ON M6E 1C5', 'Canada']",Toronto,CA,0.0
